epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,1160.49,0.71823,0.28938,0.95278,0.01762,0.18415,0.83858,0.85714,0.93508,0.78072,0.83858,0.85714,0.93508,0.88734,0.76994,0.61765,0.73043,0.02521,0,0.000829587,0.000829587,0.000829587
69,1177.06,0.71568,0.18635,0.98864,0.01913,0.15804,0.82178,0.90476,0.90733,0.73171,0.82178,0.90476,0.90733,0.83142,0.85466,0.54542,0.64914,0.02886,0,0.000804167,0.000804167,0.000804167
70,1193.55,0.69102,0.23816,0.96322,0.01963,0.25545,0.94097,0.75919,0.91734,0.73937,0.94097,0.75919,0.91734,0.81778,0.83099,0.52319,0.57442,0.02667,0,0.000778889,0.000778889,0.000778889
71,1210.15,0.67687,0.24448,0.94486,0.01907,0.21532,0.85285,0.95238,0.9491,0.84011,0.85285,0.95238,0.9491,0.92069,0.63872,0.49065,0.48996,0.02124,0,0.000753769,0.000753769,0.000753769
72,1227.36,0.71541,0.20833,0.99012,0.01895,0.14047,0.87683,0.90476,0.94607,0.81907,0.87683,0.90476,0.94607,0.9221,0.69628,0.44349,0.50879,0.02364,0,0.000728825,0.000728825,0.000728825
73,1244.06,0.67009,0.21274,0.87062,0.0169,0.12241,0.90566,0.91464,0.97025,0.85269,0.90566,0.91464,0.97025,0.95087,0.67067,0.36756,0.43382,0.02281,0,0.000704073,0.000704073,0.000704073
74,1261.21,0.64429,0.23303,0.86584,0.01694,0.18851,1,0.97745,0.995,0.85793,1,0.97745,0.995,0.97239,0.70436,0.33924,0.38477,0.02424,0,0.000679531,0.000679531,0.000679531
75,1278.56,0.63646,0.19133,0.87906,0.01767,0.1129,0.90041,0.95238,0.97477,0.85338,0.90041,0.95238,0.97477,0.95098,0.58467,0.3463,0.39406,0.01961,0,0.000655216,0.000655216,0.000655216
76,1294.55,0.6003,0.27295,0.85003,0.01544,0.13971,0.90421,0.95238,0.9722,0.87266,0.90421,0.95238,0.9722,0.9547,0.53631,0.29503,0.38084,0.01723,0,0.000631143,0.000631143,0.000631143
77,1310.89,0.64626,0.28791,0.83676,0.01618,0.13888,0.93494,0.80952,0.9487,0.84427,0.93494,0.80952,0.9487,0.93672,0.5857,0.2965,0.48682,0.01935,0,0.000607331,0.000607331,0.000607331
